Trend across 126 log file(s):
state_id                                                     count     min_ms     avg_ms     max_ms  latest_ms
--------------------------------------------------------------------------------------------------------------
video_ai_comfyui_setup                                          11       1.41   54491.61  599392.60       1.50
install_opensoundmeter                                          77       1.40    3324.89  255831.42       2.93
video_ai_node_comfyui_wanvideowrapper                            9       1.38    1443.34   12978.64       1.40
build_tailray                                                   52       2.71     658.00   34057.68       2.83
video_ai_node_comfyui_ltxvideo                                   9       1.44     601.33    5400.31       1.44
install_python_telethon                                         13       1.69     533.84    6918.56       1.85
build_wl                                                        25      36.02     420.35    9601.24      38.26
video_ai_node_comfyui_cogvideoxwrapper                           9       1.36     404.36    3627.72       1.44
replace_mandb_with_mandoc                                       32      68.97     335.55    8505.43      74.65
pull_mistral_nemo                                               63       0.14     305.55     970.99       4.92
telethon_bridge_enabled                                         13     127.46     279.47     374.50     349.26
mpd_enabled                                                     77     194.89     270.86     322.74     270.24
build_proxypilot                                                53       2.71     248.40   13001.47       2.80
install_tailray                                                 24     192.90     240.76     294.00     285.23
video_ai_node_comfyui_hunyuanvideowrapper                        9       1.39     220.14    1969.72       1.39
loki_start                                                      77       4.15     217.21   16330.84       4.62
iosevka_neg_fonts_pkgbuild                                      77       5.72     196.23    1873.96       6.11
pzip_pkgbuild                                                    3     180.72     191.54     202.99     202.99
install_droidcam                                                77       1.39     173.00   13140.59       2.91
video_ai_node_comfyui_gguf                                       9       1.38     168.43    1504.43       1.38
tailray_pkgbuild                                                53       2.69     160.10    1913.34       2.95
enable_user_services                                            82     112.24     158.91     480.91     145.18
install_tdl                                                     77       1.39     148.65   11263.60       2.64
salt_monitor_enabled                                            75     122.97     146.36     413.28     138.64
openclaw_enabled                                                81     100.32     144.90     379.04     137.12
disable_mail_services                                           77     103.07     142.43     377.78     132.67
raise_pkgbuild                                                  77       2.83     141.58    1880.16       2.87
throne_pkgbuild                                                 53       2.68     139.42    2507.52       5.17
disable_vdirsyncer_services                                     82      98.38     138.42     159.59     140.80
dconf_themes                                                    77      97.46     137.85     156.54     136.55
kanata_enabled                                                  77     100.30     137.69     161.33     130.67
install_anurati                                                 77      97.95     137.43     165.31     136.97
mpd_companion_services                                          77      96.34     136.97     157.56     135.76
dxvk_resolution_fix                                             77      98.05     136.79     231.34     136.03
install_alfa_slab_one                                           77      96.50     136.10     170.23     128.94
install_sf_pro_display                                          77      98.41     135.31     157.85     132.94
greetd_wallpaper                                                77      96.92     134.47     155.97     133.07
swww_vulkan_pkgbuild                                            24       9.70     133.39     185.89       9.70
build_sidecar                                                   53       2.65     130.96    6777.04       2.65
sidecar_pkgbuild                                                53       2.76     128.11    1933.08       2.76
duf_pkgbuild                                                    77       8.70     127.21    1880.49      39.39
install_loki                                                    77       1.46     124.03    9345.14       3.35
openclaw_health_enabled                                         18      99.87     112.56     125.08     114.96
install_kanata                                                  77       1.48     103.68    7778.15       3.28
